Thanksgiving    感恩節
therefore       因此
thick   粗的
thief   小偷
thought 思考
throat  喉嚨
through 穿過
throw   投擲
thumb   拇指
thunder 雷
tidy    整齊的
tie     捆紮
till    直到
tiny    微小的
tip     尖端
title   標題
toast   吐司
toe     腳趾
tofu    豆腐
toilet  廁所
tongue  舌頭
tool    工具
toothache       牙痛
toothbrush      牙刷
top     頂尖的
topic   話題
total   合計
toward  朝向
tower   塔
trace   追蹤
trade   交易
tradition       傳統
traditional     傳統的
trap    陷阱
trash   垃圾
travel  旅行
treasure        財富
treat   對待
triangle        三角形
trick   詭計
trousers        長褲
trumpet 喇叭
trust   信任
truth   事實
T-shirt 襯衫
tub     盆子
tube    筒
tunnel  隧道
turkey  火雞
turtle  海龜
twice   兩次
type    類型
ugly    難看的
underline       底線
underpass       地下道
underwear       內衣
unique  獨特的
universe        宇宙
university      大學
upon    在...上面
upper   較高的
upstairs        樓上的
usual   通常的
Valentine       情人節
valley  山谷
valuable        值錢的
value   價值
vendor  小販
vest    背心
victory 勝利
village 村莊
vinegar 醋
violin  小提琴
visitor 訪客
vocabulary      字彙
volleyball      排球
vote    投票
waist   腰部
walkman 隨身聽
wallet  皮夾
war     戰爭
waste   浪費
waterfalls      瀑布
watermelon      西瓜
wave    波浪
wedding 結婚典禮
weekday 工作日
weight  重量
whale   鯨
wheel   輪子
while   一會兒
whole   全部的
wide    寬闊的
wild    野生的
wing    翅膀
winner  優勝者
wok     炒菜鍋
wolf    狼
women's room    女廁
wood    木材
woods   森林
worm    蟲
wound   傷口
wrist   腕
yard    碼；院子
yell    叫喊
yeah    是
youth   青少年時期
yummy   美味的
zebra   斑馬
