shrimp	小蝦
sign	簽名；示意；招牌；姿勢；信號；前兆
silence	寂靜；沉默
silent	寂靜的；沉默寡言的
silk	絲
similar	相似的
simply	簡單地；僅僅
single	單一的；獨身的
sink	沉；陷；水槽；洗臉台
skillful	熟練的
skinny	皮包骨的；很瘦的
skirt	裙子
sleepy	想睡的
slender	苗條的；修長的
slide	滑行
slim	苗條的；微小的
slip	滑跤；滑落
slipper(s)	(室內)拖鞋
snack	(兩餐之間的)點心
snail	蝸牛
snowy	下雪的；雪白的
soccer	英式足球
social	社交的；社會的
society	社會；協會
sock(s)	短襪
soldier	士兵
solution	解決；溶解
solve	解決
somebody	重要人物；有人
somewhere	在某處
sort	分類；種類
source	泉源；出處；原因
southern	南方的；南部的
soy	醬油
soybean	大豆
spaghetti	義大利麵
speaker	演講者
speed	加速；速度
spelling	拼字
spider	蜘蛛
spinach	菠菜
spirit	靈魂；情緒
spot	發現；認出；斑點；地點
spread	伸展；塗抹；擴散
spring	跳躍；彈回
square	正方形的；廣場
squirrel	松鼠
stage	上演；舞台；階段
stamp	踩；蓋章；郵票；貼郵票
standard	標準；模範
steak	牛排
steal	偷竊
steam	蒸氣
steel	鋼
stick	伸出；貼；忍受；刺入；棒子；樹枝
storm	暴風雨；咆嘯
stove	火爐
straight	直率的；純粹的；連續的
stranger	陌生人；外行人
straw	吸管；稻草
strawberry	草莓
stream	小河流；潮流；流動
stress	強調；壓力；重音
stressful	充滿緊張感的
stretch	伸展；伸出
strict	嚴厲的；精準的
strike	敲打；襲擊；突然變得；罷工；好球
string	串聯；緊張；繩子；弦；一系列
struggle	掙扎；搏鬥
subject	主題；科目；使臣服
subjective	主觀的
subtract	減去
subtraction	減去
subway	地鐵
succeed	成功
success	成功
successful	成功的
sudden	突然的
suddenly	突然地
suit	適合；一套衣服
sunny	晴朗的；開朗的
supermarket	超市
supply	提供；儲存
support	支持；養活；證明
surface	浮出表面；表面
survive	生存
swallow	吞嚥；燕子
swan	天鵝
sweater	毛衣
sweep	清掃；席捲
swing	搖擺；鞦韆
symbol	象徵；符號
talent	才能
talkative	多話的
tangerine	橘子
tank	槽；坦克
tape	錄音帶；膠帶
target	對象；目標
task	工作；任務
tasty	美味的
team	隊伍
tear	撕；眼淚
teen(s)	十幾歲
teenage	十幾歲的
teenager	十幾歲的少年
telephone	電話；打電話
television/TV	電視
temperature	溫度；體溫
temple	廟宇；太陽穴
tennis	網球
tent	帳篷
term	任期；學期；專門用語
terrible	可怕的；駭人的
terribly	非常地；恐怖地
terrific	很棒的
test	測驗
textbook	教科書
theater	電影院；劇場
therefore	因此
thick	厚的；濃的；充滿的
thicken	使變厚；使不清楚
thief	小偷
thin	薄的；瘦的；稀疏的
thirsty	口渴的；渴望的
throat	喉嚨
through	通過；經由；完全地
throughout	遍及；到處；完全
thumb	用拇指做手勢；拇指
thunder	打雷；雷
tip	翻倒；小費；尖端；秘訣
title	標題；頭銜
toast	烤；舉杯祝賀；吐司
toaster	烤麵包機
toe	腳趾頭
tofu	豆腐
toilet	廁所；馬桶
tomato	番茄
