abandon	拋棄
lecturer	演講者；講師
legend	傳說：傳奇人物
legendary	傳說的；有名的
leisurely	悠閒的；從容的
license	執照；許可證
lighten	減輕
limitation	限制
liquor	烈酒
literary	文學的
literature	文學
loan	借貸；貸款
location	位置
locker	(可上鎖的)儲物櫃
logic	邏輯
logical	合理的；合乎邏輯的
lotion	化妝水；乳液
lousy	討厭的；情況極壞的
loyal	忠實的，忠誠的
loyalty	忠實
loyally	忠實地
lunar	月球的
luxurious	豪華的
luxury	奢侈；奢侈品
machinery	機器
madam/ma'am	太太；女士
magnetic	帶有磁性的；具有吸引力的
magnificent	壯觀的；極佳的
magnificently	壯觀地；極佳地
magnificence	壯觀；極好
manual	手工做的；肉體的；手冊
manufacture	製造
manufacturer	製造商
marathon	馬拉松賽跑
margin	(書頁的)空白處
maturity	成熟
maximum	最大限度；頂點
mechanic	機械工
mechanical	機械的；機械化的
mechanically	機械化地
memorable	令人難忘的；值得記念的
memorably	令人難忘地；值得記念地
memorial	紀念的；追悼的；紀念物；紀念碑
mercy	慈悲；憐憫
mere	僅僅的
merely	僅僅，只
merit	優點
messenger	信差
messy	凌亂的；棘手的；麻煩的
microscope	顯微鏡
mild	溫和的
mildly	溫和地
minimum	最小限度；最小值
minister	部長；牧師
ministry	(內閣的)部
mischief	惡作劇；淘氣
mischievous	惡意的；搗蛋的
mischievously	惡意地；惡作劇地
miserable	悲慘的；不幸的，可憐的
miserably	悲慘地
misfortune	厄運，不幸；變故，災難
mislead	誤導
misleading	易招致誤解的；引入歧途的
misunderstand	誤解，誤會
misunderstanding	誤會
moderate	中等的，適度的；普通的；溫和的
modest	樸素的；謙虛的；端莊的；適度的
modestly	謙虛地；端莊地
modesty	謙虛；端莊；適度
monitor	監視器；螢幕；監督
monthly	每月的；月刊
monument	紀念碑；紀念物；遺跡
moreover	而且
mostly	主要的；大半
motivate	引起動機
motivation	動機；誘因
motive	動機；目的
mountainous	多山的
muddy	泥濘的
multiple	多樣的；多數的
multiply	乘；增加
murderer	殺人犯
murmur	低語聲；低聲的抱怨
mustache	(長在嘴巴上方的)鬍子
mutual	互相的
mutually	相互地
mysterious	神秘的；原因不明的
mysteriously	神秘地
namely	即；換言之
nationality	國籍
nearsighted	近視的
needy	貧窮的
neglect	忽略；疏忽
negotiate	談判；協商
negotiation	商議；談判
nevertheless/nonetheless	可是，仍然
nightmare	惡夢，夢魘
nonsense	廢話；無用的東西
noun	(文法)名詞
nourish	養育；懷有
nourishing	營養豐富的
nourishment	營養
nowadays	現在；現今
nuclear	核子的；核子武器的
nucleus	核心；原子核
numerous	許多的
nursery	托兒所；育嬰室；苗圃
nylon	尼龍；尼龍襪
obedience	服從
obedient	聽話的；服從的
obediently	服從地
objection	反對
objective	客觀的；目標
observation	觀察；評論
obstacle	阻礙
obtain	獲得
occasional	偶爾的
occasionally	偶爾
occupation	職業；消遣
occupy	占據；擁有；使專心於...
occupied	有人的；專心於...；忙著...
offend	激怒；冒犯
offense	冒犯；違反；犯罪；攻擊
offensive	攻擊的；無禮的；令人不愉快的
offensively	無禮地
opera	歌劇
operation	工作；操作；手術
oppose	反對
orbit	軌道；延軌道運行
orchestra	管弦樂團
organic	有機的
organically	以有機肥料栽種地
otherwise	否則
outcome	結果
outstanding	傑出的，顯著的
oval	橢圓形的；橢圓
overcome	克服；打敗；征服
overlook	忽略；漏看；俯瞰
overnight	一整夜；一夕之間，忽然
overtake	追上並超過；(災難)突然襲擊
overthrow	推翻；廢除
oxygen	氧氣
pace	步伐；踱步
panel	嵌板；討論小組
parachute	降落傘；跳傘
partial	部分的；偏心的
participation	參加
participle	(文法)分詞
partnership	合作；合夥關係
passive	被動的；消極的
pasta	義大利麵
pebble	小石子
peculiar	奇怪的；獨特的
peculiarly	奇怪地；特別地
pedal	(腳踏車的)踏板；踩踏板
peer	同儕
penalty	刑罰；處罰；不利之處
percent/per cent	百分之...
percentage	百分比
perfection	完美
perfume	香水；(花的)香味
permanent	永久的；燙髮
permanently	永久地
persuasion	說服
persuasive	有說服力的
persuasively	有說服力地
pessimistic	悲觀的
petal	花瓣
phenomenon	現象
philosopher	哲學家
philosophical	哲學的；豁達的
philosophy	哲學；人生觀
philosophically	豁達地
photography	攝影
physical	身體的
physically	身體上
physician/doctor	(內科)醫生
physicist	物理學家
physics	物理學
pianist	鋼琴家
pickpocket	扒手
pilgrim	朝聖者；進香客
pioneer	拓荒者；先驅
pirate	海盜；盜版
piracy	盜版
plentiful	豐富的；充足的
plot	(故事的)情節；陰謀；標出位置
plural	複數的
p.m./pm/P.M./PM	下午；午後
poisonous	有毒的；充滿惡意的
polish	擦亮；光澤
pollution	汙染
popularity	受歡迎；流行
portable	手提式的，可攜帶的
porter	搬運工
portray	描繪
possess	擁有
possession	擁有
possessions	財產
poultry	家禽；家禽的肉
precise	精確的
precisely	精確地；正好
precision	精確
predict	預測
prediction	預測
predictable	可以預測的
preferable	更好的
preference	偏好
pregnancy	懷孕
pregnant	懷孕的
preposition	介係詞
prepositional	介係詞的
presentation	贈送；演出；發表
preservation	保護；維護
preserve	維持；保護區
preservative	防腐劑
prevention	預防；阻止
prime	首要的；最好的；質數的
primitive	原始的；初期的
privacy	隱私；私下，秘密
privilege	特權；特殊待遇
privileged	擁有特權的
procedure	手續
proceed	開始著手進行；(暫停後)繼續進行
production	生產；製作
productive	有生產力的；多產的
profession	職業；專業
professional	職業的；專業人員
professor	教授
profitable	賺錢的；有利可圖的
prominent	突出的；顯著的；著名的
prominently	突出地；顯著地
promising	有前途的
promotion	促銷；提升
prompt	迅速的；立即交付的
promptly	迅速地
pronoun	代名詞
pronunciation	發音
prosper	繁榮，興盛
prosperity	繁榮；昌盛
prosperous	繁榮的；順利的
protein	蛋白質
protest	抗議，反對
proverb	諺語
psychological	心理上的
psychologist	心理學家
psychology	心理學
publication	出版刊物
publicity	公開；出名；宣傳
publish	出版；發表
publisher	出版商
punctual	準時的
punctually	準時地
pursuit	追趕；追求
quake	震動；發抖；地震
quilt	棉被
quotation	引用的文字
rage	憤怒；激烈；生氣
realistic	現實的；實際的
rebel	叛逆者；反抗者
recall	想起；召回；收回
reception	接收；接待；招待會
receptionist	接待員
recipe	食譜
recite	背誦；詳細講述
recital	詳述；獨奏(獨唱)會
recognition	辨認；承認
recovery	取回；康復
recreation	娛樂；消遣
recycle	再生利用
reduction	減少；折扣
refer	派遣；委託；提及
reference	證明文件；推薦函；參考文獻
reflect	反射；反映；反省；仔細思索
reflection	反射；映像；感想
reform	改革；修正
reformation	改革；修正；改善
